market_id,hurst_exponent,c
572519,0.7519793037282673,0.4863524236141768
566187,0.39391175875977863,1.0124070513432757
572219,0.3744628294988292,1.280559517924769
560863,0.5842938957979674,0.8746507904316693
549324,0.47869571705463554,1.1122161896545135
527059,0.36040579943796913,1.3289733167339963
565771,0.5168939617672546,0.8200472387679405
567213,0.7088015237233313,0.4416965662305356
566265,0.40555159724753104,1.290671795510103
525332,0.47730891618470045,1.1161790498190143
566188,0.6020600859749253,0.8594644782820287
560869,0.7008906048349756,0.5553333540984909
559677,0.7326342856605056,0.5628242063469807
569116,0.3941233751455462,1.1611816628656053
541627,0.35955749109704427,1.6012116312135185
566044,0.46632623233508946,0.9425947639410442
569379,0.30862590789836086,1.6242073314654224
540280,0.6079926158201961,0.6465313284695228
541617,0.30167604869034426,1.4337976564814632
566921,0.5600264974512534,1.0699478088134355
563375,0.34484208672349304,1.4186784371444816
566142,0.6546938266290707,0.4908122418188437
565787,0.502718021232782,0.8745771382275405
565767,0.5155040567414925,0.8544553195091636
527055,0.21374313399394768,2.4744588162004977
572724,0.5463561027781084,0.9627518854687628
566657,0.37190019638673966,1.2938235302352954
525376,0.29831011502899696,1.3515997884556106
572186,0.7071485556359148,0.5794179965585196
566195,0.662926223801869,0.5989879620853752
564349,0.7209917376683967,0.5540255834076256
567307,0.48708315501208677,0.9670661091972976
567214,0.6768207770108897,0.5586853818989762
567056,0.6506439324919319,0.6382156326757072
569992,0.492702742724266,1.094364834457611
564418,0.5905500362240585,0.6669723575584044
553874,0.3206873447152395,1.432162346682689
567563,0.4972816966678153,1.1325141287952567
537882,0.5069834325177854,1.0136178143927568
567141,0.596945688526793,0.8737586793544719
564210,0.4467603144852138,1.1635476366968454
567137,0.6330282546070886,0.6623119560764681
525414,0.4856920497915926,0.9075460639766463
569259,0.46092411230912245,0.857009905199961
559586,0.423030750372736,1.0064526786263674
565226,0.48907376707331535,1.1125984236759623
541615,0.5717871376327326,0.953705522591598
554710,0.5371677449796957,0.8599551602515708
565757,0.5664179768536786,0.5721166491180514
521934,0.43561505787564625,1.0274371274849414
